94,27597,12148,Area of S-circular-insula-ant (right hemisphere)
95,27376,11149,Area of S-circular-insula-inf (left hemisphere)
96,27598,12149,Area of S-circular-insula-inf (right hemisphere)
97,27377,11150,Area of S-circular-insula-sup (left hemisphere)
98,27599,12150,Area of S-circular-insula-sup (right hemisphere)
99,27378,11151,Area of S-collat-transv-ant (left hemisphere)
100,27600,12151,Area of S-collat-transv-ant (right hemisphere)
101,27379,11152,Area of S-collat-transv-post (left hemisphere)
102,27601,12152,Area of S-collat-transv-post (right hemisphere)
103,27380,11153,Area of S-front-inf (left hemisphere)
104,27602,12153,Area of S-front-inf (right hemisphere)
105,27381,11154,Area of S-front-middle (left hemisphere)
106,27603,12154,Area of S-front-middle (right hemisphere)
107,27382,11155,Area of S-front-sup (left hemisphere)
108,27604,12155,Area of S-front-sup (right hemisphere)
109,27383,11156,Area of S-interm-prim-Jensen (left hemisphere)
110,27605,12156,Area of S-interm-prim-Jensen (right hemisphere)
111,27384,11157,Area of S-intrapariet+P-trans (left hemisphere)
112,27606,12157,Area of S-intrapariet+P-trans (right hemisphere)
113,27385,11158,Area of S-oc-middle+Lunatus (left hemisphere)
114,27607,12158,Area of S-oc-middle+Lunatus (right hemisphere)
115,27386,11159,Area of S-oc-sup+transversal (left hemisphere)
116,27608,12159,Area of S-oc-sup+transversal (right hemisphere)
117,27388,11161,Area of S-oc-temp-lat (left hemisphere)
118,27610,12161,Area of S-oc-temp-lat (right hemisphere)
119,27389,11162,Area of S-oc-temp-med+Lingual (left hemisphere)
120,27611,12162,Area of S-oc-temp-med+Lingual (right hemisphere)
121,27387,11160,Area of S-occipital-ant (left hemisphere)
122,27609,12160,Area of S-occipital-ant (right hemisphere)
123,27392,11165,Area of S-orbital-H-Shaped (left hemisphere)
124,27614,12165,Area of S-orbital-H-Shaped (right hemisphere)
125,27390,11163,Area of S-orbital-lateral (left hemisphere)
126,27612,12163,Area of S-orbital-lateral (right hemisphere)
127,27391,11164,Area of S-orbital-med-olfact (left hemisphere)
128,27613,12164,Area of S-orbital-med-olfact (right hemisphere)
129,27393,11166,Area of S-parieto-occipital (left hemisphere)
130,27615,12166,Area of S-parieto-occipital (right hemisphere)
131,27394,11167,Area of S-pericallosal (left hemisphere)
132,27616,12167,Area of S-pericallosal (right hemisphere)
133,27395,11168,Area of S-postcentral (left hemisphere)
134,27617,12168,Area of S-postcentral (right hemisphere)
135,27396,11169,Area of S-precentral-inf-part (left hemisphere)
136,27618,12169,Area of S-precentral-inf-part (right hemisphere)
137,27397,11170,Area of S-precentral-sup-part (left hemisphere)
138,27619,12170,Area of S-precentral-sup-part (right hemisphere)
139,27398,11171,Area of S-suborbital (left hemisphere)
140,27620,12171,Area of S-suborbital (right hemisphere)
141,27399,11172,Area of S-subparietal (left hemisphere)
142,27621,12172,Area of S-subparietal (right hemisphere)
143,27400,11173,Area of S-temporal-inf (left hemisphere)
144,27622,12173,Area of S-temporal-inf (right hemisphere)
145,27401,11174,Area of S-temporal-sup (left hemisphere)
146,27623,12174,Area of S-temporal-sup (right hemisphere)
147,27402,11175,Area of S-temporal-transverse (left hemisphere)
148,27624,12175,Area of S-temporal-transverse (right hemisphere)
149,27408,11106,Mean thickness of G+S-cingul-Ant (left hemisphere)
150,27630,12106,Mean thickness of G+S-cingul-Ant (right hemisphere)
151,27409,11107,Mean thickness of G+S-cingul-Mid-Ant (left hemisphere)
152,27631,12107,Mean thickness of G+S-cingul-Mid-Ant (right hemisphere)
153,27410,11108,Mean thickness of G+S-cingul-Mid-Post (left hemisphere)
154,27632,12108,Mean thickness of G+S-cingul-Mid-Post (right hemisphere)
155,27403,11101,Mean thickness of G+S-frontomargin (left hemisphere)
156,27625,12101,Mean thickness of G+S-frontomargin (right hemisphere)
157,27404,11102,Mean thickness of G+S-occipital-inf (left hemisphere)
158,27626,12102,Mean thickness of G+S-occipital-inf (right hemisphere)
159,27405,11103,Mean thickness of G+S-paracentral (left hemisphere)
160,27627,12103,Mean thickness of G+S-paracentral (right hemisphere)
161,27406,11104,Mean thickness of G+S-subcentral (left hemisphere)
162,27628,12104,Mean thickness of G+S-subcentral (right hemisphere)
163,27407,11105,Mean thickness of G+S-transv-frontopol (left hemisphere)
164,27629,12105,Mean thickness of G+S-transv-frontopol (right hemisphere)
165,27419,11117,Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere)
166,27641,12117,Mean thickness of G-Ins-lg+S-cent-ins (right hemisphere)
167,27411,11109,Mean thickness of G-cingul-Post-dorsal (left hemisphere)
168,27633,12109,Mean thickness of G-cingul-Post-dorsal (right hemisphere)
169,27412,11110,Mean thickness of G-cingul-Post-ventral (left hemisphere)
170,27634,12110,Mean thickness of G-cingul-Post-ventral (right hemisphere)
171,27413,11111,Mean thickness of G-cuneus (left hemisphere)
172,27635,12111,Mean thickness of G-cuneus (right hemisphere)
173,27414,11112,Mean thickness of G-front-inf-Opercular (left hemisphere)
174,27636,12112,Mean thickness of G-front-inf-Opercular (right hemisphere)
175,27415,11113,Mean thickness of G-front-inf-Orbital (left hemisphere)
176,27637,12113,Mean thickness of G-front-inf-Orbital (right hemisphere)
177,27416,11114,Mean thickness of G-front-inf-Triangul (left hemisphere)
178,27638,12114,Mean thickness of G-front-inf-Triangul (right hemisphere)
179,27417,11115,Mean thickness of G-front-middle (left hemisphere)
180,27639,12115,Mean thickness of G-front-middle (right hemisphere)
181,27418,11116,Mean thickness of G-front-sup (left hemisphere)
182,27640,12116,Mean thickness of G-front-sup (right hemisphere)
183,27420,11118,Mean thickness of G-insular-short (left hemisphere)
184,27642,12118,Mean thickness of G-insular-short (right hemisphere)
185,27423,11121,Mean thickness of G-oc-temp-lat-fusifor (left hemisphere)
186,27645,12121,Mean thickness of G-oc-temp-lat-fusifor (right hemisphere)
187,27424,11122,Mean thickness of G-oc-temp-med-Lingual (left hemisphere)
188,27646,12122,Mean thickness of G-oc-temp-med-Lingual (right hemisphere)
189,27425,11123,Mean thickness of G-oc-temp-med-Parahip (left hemisphere)
190,27647,12123,Mean thickness of G-oc-temp-med-Parahip (right hemisphere)
191,27421,11119,Mean thickness of G-occipital-middle (left hemisphere)
192,27643,12119,Mean thickness of G-occipital-middle (right hemisphere)
193,27422,11120,Mean thickness of G-occipital-sup (left hemisphere)
194,27644,12120,Mean thickness of G-occipital-sup (right hemisphere)
195,27426,11124,Mean thickness of G-orbital (left hemisphere)
196,27648,12124,Mean thickness of G-orbital (right hemisphere)
197,27427,11125,Mean thickness of G-pariet-inf-Angular (left hemisphere)
198,27649,12125,Mean thickness of G-pariet-inf-Angular (right hemisphere)
199,27428,11126,Mean thickness of G-pariet-inf-Supramar (left hemisphere)
200,27650,12126,Mean thickness of G-pariet-inf-Supramar (right hemisphere)
201,27429,11127,Mean thickness of G-parietal-sup (left hemisphere)
202,27651,12127,Mean thickness of G-parietal-sup (right hemisphere)
203,27430,11128,Mean thickness of G-postcentral (left hemisphere)
204,27652,12128,Mean thickness of G-postcentral (right hemisphere)
205,27431,11129,Mean thickness of G-precentral (left hemisphere)
206,27653,12129,Mean thickness of G-precentral (right hemisphere)
207,27432,11130,Mean thickness of G-precuneus (left hemisphere)
208,27654,12130,Mean thickness of G-precuneus (right hemisphere)
209,27433,11131,Mean thickness of G-rectus (left hemisphere)
210,27655,12131,Mean thickness of G-rectus (right hemisphere)
211,27434,11132,Mean thickness of G-subcallosal (left hemisphere)
212,27656,12132,Mean thickness of G-subcallosal (right hemisphere)
213,27435,11133,Mean thickness of G-temp-sup-G-T-transv (left hemisphere)
214,27657,12133,Mean thickness of G-temp-sup-G-T-transv (right hemisphere)
215,27436,11134,Mean thickness of G-temp-sup-Lateral (left hemisphere)
216,27658,12134,Mean thickness of G-temp-sup-Lateral (right hemisphere)
217,27437,11135,Mean thickness of G-temp-sup-Plan-polar (left hemisphere)
218,27659,12135,Mean thickness of G-temp-sup-Plan-polar (right hemisphere)
219,27438,11136,Mean thickness of G-temp-sup-Plan-tempo (left hemisphere)
220,27660,12136,Mean thickness of G-temp-sup-Plan-tempo (right hemisphere)
221,27439,11137,Mean thickness of G-temporal-inf (left hemisphere)
222,27661,12137,Mean thickness of G-temporal-inf (right hemisphere)
223,27440,11138,Mean thickness of G-temporal-middle (left hemisphere)
224,27662,12138,Mean thickness of G-temporal-middle (right hemisphere)
225,27441,11139,Mean thickness of Lat-Fis-ant-Horizont (left hemisphere)
226,27663,12139,Mean thickness of Lat-Fis-ant-Horizont (right hemisphere)
227,27442,11140,Mean thickness of Lat-Fis-ant-Vertical (left hemisphere)
228,27664,12140,Mean thickness of Lat-Fis-ant-Vertical (right hemisphere)
229,27443,11141,Mean thickness of Lat-Fis-post (left hemisphere)
230,27665,12141,Mean thickness of Lat-Fis-post (right hemisphere)
231,27444,11143,Mean thickness of Pole-occipital (left hemisphere)
232,27666,12143,Mean thickness of Pole-occipital (right hemisphere)
233,27445,11144,Mean thickness of Pole-temporal (left hemisphere)
234,27667,12144,Mean thickness of Pole-temporal (right hemisphere)
235,27446,11145,Mean thickness of S-calcarine (left hemisphere)
236,27668,12145,Mean thickness of S-calcarine (right hemisphere)
237,27447,11146,Mean thickness of S-central (left hemisphere)
238,27669,12146,Mean thickness of S-central (right hemisphere)
239,27448,11147,Mean thickness of S-cingul-Marginalis (left hemisphere)
240,27670,12147,Mean thickness of S-cingul-Marginalis (right hemisphere)
241,27449,11148,Mean thickness of S-circular-insula-ant (left hemisphere)
242,27671,12148,Mean thickness of S-circular-insula-ant (right hemisphere)
243,27450,11149,Mean thickness of S-circular-insula-inf (left hemisphere)
244,27672,12149,Mean thickness of S-circular-insula-inf (right hemisphere)
245,27451,11150,Mean thickness of S-circular-insula-sup (left hemisphere)
246,27673,12150,Mean thickness of S-circular-insula-sup (right hemisphere)
247,27452,11151,Mean thickness of S-collat-transv-ant (left hemisphere)
248,27674,12151,Mean thickness of S-collat-transv-ant (right hemisphere)
249,27453,11152,Mean thickness of S-collat-transv-post (left hemisphere)
250,27675,12152,Mean thickness of S-collat-transv-post (right hemisphere)
251,27454,11153,Mean thickness of S-front-inf (left hemisphere)
252,27676,12153,Mean thickness of S-front-inf (right hemisphere)
253,27455,11154,Mean thickness of S-front-middle (left hemisphere)
254,27677,12154,Mean thickness of S-front-middle (right hemisphere)
255,27456,11155,Mean thickness of S-front-sup (left hemisphere)
256,27678,12155,Mean thickness of S-front-sup (right hemisphere)
257,27457,11156,Mean thickness of S-interm-prim-Jensen (left hemisphere)
258,27679,12156,Mean thickness of S-interm-prim-Jensen (right hemisphere)
259,27458,11157,Mean thickness of S-intrapariet+P-trans (left hemisphere)
260,27680,12157,Mean thickness of S-intrapariet+P-trans (right hemisphere)
261,27459,11158,Mean thickness of S-oc-middle+Lunatus (left hemisphere)
262,27681,12158,Mean thickness of S-oc-middle+Lunatus (right hemisphere)
263,27460,11159,Mean thickness of S-oc-sup+transversal (left hemisphere)
264,27682,12159,Mean thickness of S-oc-sup+transversal (right hemisphere)
265,27462,11161,Mean thickness of S-oc-temp-lat (left hemisphere)
266,27684,12161,Mean thickness of S-oc-temp-lat (right hemisphere)
267,27463,11162,Mean thickness of S-oc-temp-med+Lingual (left hemisphere)
268,27685,12162,Mean thickness of S-oc-temp-med+Lingual (right hemisphere)
269,27461,11160,Mean thickness of S-occipital-ant (left hemisphere)
270,27683,12160,Mean thickness of S-occipital-ant (right hemisphere)
271,27466,11165,Mean thickness of S-orbital-H-Shaped (left hemisphere)
272,27688,12165,Mean thickness of S-orbital-H-Shaped (right hemisphere)
273,27464,11163,Mean thickness of S-orbital-lateral (left hemisphere)
274,27686,12163,Mean thickness of S-orbital-lateral (right hemisphere)
